kingdom,phylum,class,order,family,genus,species,iucn_redlist_id,iucn_redlist_category,common_name_en,common_name_fr,common_name_sp,country_distribution
Animalia,Cnidaria,Anthozoa,Scleractinia,Acroporidae,Acropora,plumosa,132935,VU,,,,"[""BRN"",""IDN"",""MYS"",""PLW"",""PNG"",""PHL"",""SLB"",""TLS""]"
Animalia,Cnidaria,Anthozoa,Scleractinia,Acroporidae,Acropora,simplex,133427,VU,,,,"[""BRN"",""IDN"",""MYS"",""PLW"",""PNG"",""PHL"",""THA"",""TLS""]"
Animalia,Cnidaria,Anthozoa,Scleractinia,Acroporidae,Acropora,striata,133291,VU,,,,"[""BRN"",""COK"",""PYF"",""GUM"",""IDN"",""JPN"",""KIR"",""MYS"",""MHL"",""NIU"",""MNP"",""PLW"",""PNG"",""PHL"",""SLB"",""TWN"",""THA"",""TLS""]"
Animalia,Cnidaria,Anthozoa,Scleractinia,Acroporidae,Acropora,tenella,133203,VU,,,,"[""BRN"",""GUM"",""IDN"",""JPN"",""MYS"",""MNP"",""PLW"",""PNG"",""PHL"",""TWN"",""TLS"",""VNM""]"
Animalia,Cnidaria,Anthozoa,Scleractinia,Pectiniidae,Echinophyllia,costata,133656,VU,,,,"[""BRN"",""IDN"",""MYS"",""PNG"",""PHL"",""SLB"",""THA"",""TLS""]"
Animalia,Cnidaria,Anthozoa,Scleractinia,Oculinidae,Galaxea,cryptoramosa,133019,VU,,,,"[""BRN"",""IDN"",""MYS"",""PHL"",""THA"",""TLS""]"
Animalia,Cnidaria,Anthozoa,Scleractinia,Poritidae,Goniopora,burgosi,133391,VU,,,,"[""BRN"",""EGY"",""ATF"",""IND"",""IDN"",""JPN"",""JOR"",""MDG"",""MYS"",""MMR"",""PNG"",""PHL"",""SAU"",""SLB"",""LKA"",""SDN"",""TWN"",""THA"",""TLS""]"
Animalia,Cnidaria,Anthozoa,Scleractinia,Poritidae,Goniopora,polyformis,133014,VU,,,,"[""BRN"",""KHM"",""CHN"",""IDN"",""JPN"",""MYS"",""PHL"",""TWN"",""THA"",""TLS"",""VNM""]"
Animalia,Cnidaria,Anthozoa,Scleractinia,Faviidae,Leptastrea,aequalis,133542,VU,,,,"[""BRN"",""CXR"",""CCK"",""ATF"",""IND"",""IDN"",""MDG"",""MYS"",""MMR"",""PNG"",""PHL"",""LKA"",""THA"",""TLS""]"
Animalia,Cnidaria,Anthozoa,Scleractinia,Faviidae,Montastrea,multipunctata,133374,VU,,,,"[""BRN"",""KHM"",""FJI"",""IDN"",""JPN"",""KIR"",""MYS"",""MHL"",""NCL"",""PLW"",""PNG"",""PHL"",""SLB"",""TWN"",""THA"",""TLS"",""TUV"",""VUT"",""VNM""]"
