col_id,vernacular_names_eng,vernacular_names_spa,vernacular_names_por,vernacular_names_fra,vernacular_names_rus,vernacular_names_deu,vernacular_names_ita,vernacular_names_jpn,vernacular_names_zho,vernacular_names_kor
75HV8,"marbled rock crab, marbled shore crab",,,,Мраморный краб (Mramornyj krab),"Felsenkrabbe, Rennkrabbe",,,,
4BSCP,mottled shore crab,,,,,,,,,
4JJQY,drifter crab,,,crabe marin,,,,ナガレガニ (nagaregani),,
4JJQZ,"Columbus crab, Columbus' crab, Gulf weed crab, Gulf-weed crab, Gulfweed crab, Sargassum crab",,,crabe menu,,Kolumbuskrabbe,,,,
6KSVQ,,,,,,,,スネナガイワガニ (sunenagaiwagani),,
6L587,"Sally lightfoot crab, cliff crab, mottled shore crab, sally lightfoot",,,,,Felsenkrabbe,,,,
6L4VW,,,,,,,,ベンケイガニ (benkeigani),,
6KT84,Natal lightfoot crab,,,,,,,オオイワガニ (ooiwagani),,
6L4W5,"mottled lightfoot crab, swift-footed crab",,,,,Schnelle Felsenkrabbe,,ミナミイワガニ (minamiiwagani),,
73J7D,,,,,,,,ミナミコメツキガニ (minamikometsukigani),,
73J7C,light-blue soldier crab,,,,,"Hellblaue Grenadierkrabbe, Hellblaue Regimentskrabbe, Hellblaue Soldatenkrabbe",,,,
73J7B,dark blue soldier crab,,,,,,,,,
7CFWJ,,,,,,,,ツノメチゴガニ (tsunomechigogani),,
54KNP,,,,,,,,ミナミムツハアリアケガニ (minamimutsuhaariakegani),,
44F5M,,,,,,,,ハサミカクレガニ (hasamikakuregani),,
34FC8,,,,,,,,クマノエミオスジガニ (kumanoemiosujigani),,
34FC7,,,,,,,,アリアケモドキ (ariakemodoki),,
84F94,,,,,,,,カワスナガニ (kawasunagani),,
73N2K,,,,,,,,コウナガカワスナガニ (kounagakawasunagani),,
5X9XK,,,,,,,,ムツハアリアケガニ／ムツバアリアケガニ (mutsuhaariakegani/mutsubaariakegani),,
VXMQ,,,,,,,,アリアケガニ (ariakegani),,
4KQ87,,,,,,,,トゲヒゲガニ (togehigegani),,
58GJS,,,,,,,,ツノクリガニ (tsunokurigani),,
58GJY,,,,,,,,ケブカツノクリガニ (kebukatsunokurigani),,
58GK8,,,,,,,,オオツノクリガニ (ootsunokurigani),,
58GKC,,,,,,,,サガミツノクリガニ (sagamitsunokurigani),,
58GK7,velvet horse crab,,,,,,,,,
79PDM,rusty crab,,,,,Indische Trapezkrabbe,,,,
3TDTF,"Sarawak land crab, panda crab",,,,,"Sarawak-Landkrabbe, Totenköpfchen, WeißscherenKrabbe",,,,
4BNB3,Ceylon paddy field crab,,,,,,,,,
7642B,"Towuti freshwater crab, rusty-red Sulawesi crab",,,,,"Rostbraune Sulawesikrabbe, Towuti-Krabbe",,,,
763QC,"lowland freshwater crab, maculate freshwater crab",,,,,Braune Tüpfelkrabbe,,,,
4DFBB,panther crab,,,,,Pantherkrabbe,,,,
3LGN2,,,,,,,,メダマムツアシガニ (medamamutsuashigani),,
3LGGP,,,,,,,,トウヨウムツアシガニ (touyoumutsuashigani),,
3LGMV,,,,,,,,ムツアシガニ (mutsuashigani),,
RFYQ,"batwing coral crab, coral crab, queen crab",,,,,,,,,
RFYS,"spotted reef crab, spotted rock crab",,,,,,,アカモンガニ (akamongani),,
RFYP,convex reef crab,,,,,,,ユウモンガニ (yuumongani),,
3B29M,"Korean horsehair crab, hair crab",,,,Краб волосатый четырехугольный (Krab volosatyj cetyrehugol'nyj),,,ケガニ (kegani),,
9G6DB,,,,,,,,トゲクリガニ (togekurigani),,
558M4,helmet crab,,,crabe casqué,Краб волосатый пятиугольный (Krab volosatyj patiugol'nyj),,,クリガニ (kurigani),,
37K3D,,,,,,,,ミゾツブコブシ (mizotsubukobushi),,
6DJHY,,,,,,,,ミゾコブシ (mizokobushi),,
65CD4,,,,,,,,メンコヒシガニ (menkohishigani),,
65CCS,flat elbow crab,,,,,,,ヒメメンコヒシガニ (himemenkohishigani),,
78ZPL,,,,,,,,ヤマトオサチラ (yamatoosachira),,
6WZPL,,,,,,,,オサチラガニ (osachiragani),,
74YZR,,,,,,,,ホンオチサラガニ (hon'ochisaragani),,
6SYZW,thinlip jewelbox crab,,,,,,,,,
6SYZR,box crab,,,,,,,,,
74YZX,thicklip jewelbox crab,,,,,,,,,
9S78,,,,,,,,サメハダガニ (samehadagani),,
3KW4G,flecked box crab,,,,,,,,,
3KW3M,calico box crab,,,,,Calico-Kastenkrabbe,,,,
KLSP,,,,,,,,ヤクジャマガニ／クマドリオウギガニ (yakujamagani/kumadoriougigani),,
3CT52,,,,,,,,クマノケブカガニ (kumanokebukagani),,
3CT4Z,,,,,,,,キイマルミケブカガニ (kiimarumikebukagani),,
3CT4Y,,,,,,,,マルミケブカガニ (marumikebukagani),,
6HC6V,,,,,,,,マルミケブカモドキ (marumikebukamodoki),,
4BNCL,,,,,,,,オオイソオウギガニ (ooisoougigani),,
4BNCY,,,,,,,,ツブイソオウギガニ (tsubuisoougigani),,
4BNCS,,,,,,,,イソオウギガニ (isoougigani),,
3WNV8,,,,,,,,キバオウギガニ (kibaougigani),,
6FX6Y,,,,,,,,シワセビロガニ (shiwasebirogani),,
6G96Y,,,,,,,,カノコセビロガニ (kanokosebirogani),,
6FX77,,,,,,,,セビロオウギガニ (sebiroougigani),,
33YMG,,,,,,,,ホシハダヒシガニ (hoshihadahishigani),,
6MR95,,,,,,,,マツバガニ (matsubagani),,
3ZQP8,"Florida stone crab, black stone crab, southern stone crab, stone crab",,,,,Große Steinkrabbe,,,,
3ZQNW,Gulf stone crab,,,,,,,,,
6QZSC,Cuban stone crab,,,,,,,,,
4YSX7,,,,,,,,スベスベオウギガニ (subesubeougigani),,
3B736,rough redeye crab,,,,,,,イボイワオウギガニ (iboiwaougigani),,
3B72J,,,,,,,,イボイワオウギガニ (iboiwaougigani),,
3B72L,warty crab,,,,,,,,,
3B734,,,,,,,,ヒメイワオウギガニ (himeiwaougigani),,
3B735,smooth redeye crab,,,,,,,イワオウギガニ (iwaougigani),,
6H2X2,"Italian box crab, warty crab, warty xanthid crab, yellow box crab, yellow crab",,,,Каменный краб (Kamennyj krab),"Gelbe Krabbe, Gemeine Krabbe, Italienischer Taschenkrebs",,,,
6NFWC,,,,,,,,ヒゲガニ (higegani),,
3QQFB,,,,,,,,タイワンヒゲガニ (taiwanhigegani),,
3GS8P,,,,,,,,タマヒゲガニ (tamahigegani),,
YSVB,"helmet crab, masked crab",,,coryste,,"Antennenkrebs, Maskenkrabbe",,,,
33TKB,,,,,,,,メガネオウギガニ (meganeougigani),,
6BXCS,,,,,,,,ヒメメガネオウギガニ (himemeganeougigani),,
33YMC,,,,,,,,カノコオウギガニ (kanokoougigani),,
6T7GQ,,,,,,,,キトウガニ (kitougani),,
ZMZL,,,,,,,,ヒメアシブトイトアシガニ (himeashibutoitoashigani),,
ZMZN,,,,,,,,アシブトイトアシガニ (ashibutoitoashigani),,
4D762,,,,,,,,ミナミアシナガイトアシガニ (minamiashinagaitoashigani),,
4P5NQ,,,,,,,,イトアシガニ (itoashigani),,
4P5NG,,,,,,,,オオイトアシガニ (ooitoashigani),,
4RP2L,,,,,,,,ノコハイトアシガニ (nokohaitoashigani),,
4RP2K,,,,,,,,ダルマイトアシガニ (darumaitoashigani),,
46P4K,,,,,,,,シカクイトアシガニ (shikakuitoashigani),,
4C4D4,,,,,,,,テナガイトアシガニ (tenagaitoashigani),,
4C4YL,,,,,,,,コイトアシガニ (koitoashigani),,
3DNXL,,,,,,,,アカモンイトアシガニ (akamon'itoashigani),,
4C4ZL,inflated stilt crab,,,,,,,,,
75K23,delicate stilt crab,,,,,,,,,
4C4Z6,finned stilt crab,,,,,,,,,
4C4Z3,armored stilt crab,,,,,,,,,
4C4Z2,bathyal stilt crab,,,,,,,,,
934SL,Antillean stilt crab,,,,,,,,,
4C4YP,labile stilt crab,,,,,,,,,
3ZW5S,Blue-throated Bee-eater,Abejaruco gorjiazul,abelharuco-de-garganta-azul,Guêpier à gorge bleue,,,,,,
3ZW5J,"Asian Green Bee-eater, Green Bee-eater",Abejaruco esmeralda oriental,abelharuco-verde,Guêpier d'Orient,,,,,,
3ZW5M,Blue-tailed Bee-eater,Abejaruco coliazul,abelharuco-de-cauda-azul,Guêpier à queue d'azur,,,,,,
3ZW55,European Bee-eater,Abejaruco europeo,abelharuco-comum,Guêpier d'Europe,,,,,,
3ZW5K,Rainbow Bee-eater,Abejaruco australiano,abelharuco-colorido,Guêpier arc-en-ciel,,,,,,
3ZW5Q,"Madagascar Bee-eater, Olive Bee-eater",Abejaruco malgache,abelharuco-de-faces-azuis,Guêpier de Madagascar,,,,,,
3ZW5H,Cinnamon-chested Bee-eater,Abejaruco montano,abelharuco-de-peito-marrom,Guêpier montagnard,,,,,,
3ZW5R,Blue-breasted Bee-eater,Abejaruco variegado,abelharuco-de-peito-azul,Guêpier à collier bleu,,,,,,
4C4ZP,winged stilt crab,,,,,,,,,
3J93H,,,,,,,,ヒラコウケブカガニ (hirakoukebukagani),,
78J8Z,,,,,,,,ヒメイソオウギガニ (himeisoougigani),,
4HVQ3,nakedface hairy crab,,,,,,,,,
6X49F,,,,,,,,ユウレイガニ (yuureigani),,
69R2F,,,,,,,,マルディビアガニ (marudibiagani),,
4C6B5,,,,,,,,トゲマルディビアガニ／トゲモルジブガニ (togemarudibiagani/togemorujibugani),,
37959,,,,,,,,ヒメドメシア／ヒメドメシアガニ (himedomeshia/himedomeshiagani),,
6DF3T,,,,,,,,ドメシアガニ (domeshiagani),,
37957,elkhorn coral crab,,,,,,,,,
55NKH,,,,,,,,クロエリサンゴガニ／ヒメサンゴガニ (kuroerisangogani/himesangogani),,
PX3F,,,,,,,,ホンサンゴガニ (honsangogani),,
697DL,,,,,,,,ハベホンサンゴガニ (habehonsangogani),,
4NQRG,Tasmanian giant crab,,,,,Australische Riesenkrabbe,,,,
6SKKR,speck-claw decorator crab,,,,,Fleckscheren-Schmuckkrabbe,,,,
73LCV,red-ridged clinging crab,,,,,,,,,
6RLCV,nodose clinging crab,,,,,,,,,
73LD5,green clinging crab,,,,,,,,,
73LCW,banded clinging crab,,,,,,,,,
467CQ,sharphorn clinging crab,,,,,,,,,
467CR,shorthorn clinging crab,,,,,,,,,
4JBS5,broadback urn crab,,,,,,,,,
4JBRZ,massive urn crab,,,,,,,,,
4JBS2,oval urn crab,,,,,,,,,
4JBS4,eggshell urn crab,,,,,,,,,
7C8H8,scarlet mime crab,,,,,,,,,
7VVS9,shaggy clinging crab,,,,,,,,,
7VVS7,"coral clinging crab, coral crab, large red spider crab",,,,,Korallen-Seespinne,,,,
DGV4,stilt spider crab,,,,,Stelzen-Seespinne,,,,
3X3WC,"Japanese spider crab, giant spider crab",,,,,Japanische Riesenkrabbe,,タカアシガニ (takaashigani),,
7B4DT,,,,,,,,アンダマンアケウス (andaman'akeusu),,
42HLF,false arrow crab,,,,,,,,,
3VMTY,,,,,,,,ムツハマメツブガニ／キリンアケウス (mutsuhamametsubugani/kirin'akeusu),,
3VMTZ,,,,,,,,シャクドウマメツブガニ (shakudoumametsubugani),,
4MY3S,,,,,,,,コアケウスモドキ (koakeusumodoki),,
4HF72,,,,,,,,アシナガアケウス (ashinagaakeusu),,
4S9Y2,,,,,,,,カワリアケウス (kawariakeusu),,
49H2Q,,,,,,,,クモガニ (kumogani),,
49H2S,,,,,,,,ヒラツノクモガニ (hiratsunokumogani),,
49H2P,,,,,,,,トガリクモガニ (togarikumogani),,
49H2R,,,,,,,,ミナミクモガニ (minamikumogani),,
763SJ,,,,,,,,マメツブガニ (mametsubugani),,
68Y89,,,,,,,,モクズセオイ／モクズショイ (mokuzuseoi/mokuzushoi),,
736QV,,,,,,,,ノコギリエンコウガニ (nokogirienkougani),,
6MVDF,,,,,,,,ヒメノコギリエンコウガニ (himenokogirienkougani),,
LPJR,,,,,,,,オオノコギリエンコウガニ (oonokogirienkougani),,
46QGZ,bimarginate bathyal crab,,,,,,,,,
46HT2,,,,,,,,メダカガニ (medakagani),,
6FHMW,,,,,,,,ケブカエンコウガニ (kebukaenkougani),,
6HMHS,,,,,,,,ウスベニエンコウガニ (usubenienkougani),,
56RRT,,,,,,,,エガオエンコウガニ (egaoenkougani),,
4PLBP,,,,,,,,ナキエンコウガニ (nakienkougani),,
84H8X,,,,,,,,ヒメエンコウガニ (himeenkougani),,
49CP5,,,,,,,,ヒメメナガエンコウガニ (himemenagaenkougani),,
49CP8,,,,,,,,メナガエンコウガニ (menagaenkougani),,
6SLT5,,,,,,,,ホンメナガエンコウガニ (honmenagaenkougani),,
47XBM,,,,,,,,リュウキュウカクエンコウガニ (ryuukyuukakuenkougani),,
